# jonquera scenario; 30 hours of prediction; ignition from central polygon; single core execution; scenario.ini: landscapeFile=landscape/jonquera.lcp;ignitionFile=perimetres/jonquera_central_polygon_2.shp;perimeterResolution=30m;distanceResolution=30m;StartDate=2019-07-22 12:00:00;EndDate=2019-07-23 18:30:00;hoursOfSimulation=30
generation individual p0 p1  p2        p3        p4        p5        p6        p7        p8       p9      p10      p11      p12      p13      p14      p15   p16      p17      p18      p19      p20 runtime maxRSS outputs cpu csw exit error
0 92 9 7 2 43 79 12 266 31 43 0.953898 0 0 0 0 0 0 0 0 0 0 0 524.28 442364 38376 100% 52704 0 1.732326 
0 93 7 2 15 68 70 17 238 49 33 0.939019 0 0 0 0 0 0 0 0 0 0 0 1733.17 971980 40376 100% 171134 0 2.432054 
0 94 13 7 10 43 89 11 177 44 78 1.945515 0 0 0 0 0 0 0 0 0 0 0 66.02 122228 37096 99% 7671 0 1.204333 
0 95 12 8 2 32 71 18 47 45 70 0.826409 0 0 0 0 0 0 0 0 0 0 0 456.79 414224 39192 100% 46706 0 2.327169 
0 96 13 11 6 54 99 10 180 47 76 0.038553 0 0 0 0 0 0 0 0 0 0 0 45.74 103124 36784 99% 5479 0 1.145682 
0 97 2 13 1 69 72 0 5 36 41 1.198006 0 0 0 0 0 0 0 0 0 0 0 42.89 106268 36096 99% 5226 0 1.037276 
0 98 11 12 14 23 71 3 129 38 33 0.133256 0 0 0 0 0 0 0 0 0 0 0 66.40 139144 36304 99% 7247 0 1.046161 
0 99 12 7 2 33 79 22 53 43 36 0.767339 0 0 0 0 0 0 0 0 0 0 0 3330.58 1578800 43120 99% 328428 0 4.821888 
0 100 2 11 12 57 85 10 300 38 57 0.364853 0 0 0 0 0 0 0 0 0 0 0 169.25 222840 37112 98% 17921 0 1.382878 
0 101 13 2 0 26 77 15 245 46 60 1.622196 0 0 0 0 0 0 0 0 0 0 0 455.38 403440 38456 100% 46062 0 1.975141 
